epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2502,1.47971,2.96734,1.40975,0.02524,1,0.34192,0.17719,1.46868,2.77364,1.38474,8e-05,8e-05,8e-05
2,26.7935,1.45198,2.63144,1.3827,0.02524,1,0.38585,0.21374,1.41767,2.672,1.31904,0.0001206,0.0001206,0.0001206
3,40.3617,1.39778,2.15709,1.28701,0.02524,1,0.40382,0.22082,1.41791,2.60312,1.26886,9.52e-05,9.52e-05,9.52e-05
