epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3617,1.47971,2.96734,1.40975,0.02524,1,0.34192,0.17719,1.46868,2.77364,1.38474,8e-05,8e-05,8e-05
2,38.9987,1.45156,2.5988,1.37681,0.02524,1,0.38449,0.21222,1.44688,2.66314,1.32357,0.00014436,0.00014436,0.00014436
3,60.2286,1.40204,1.98739,1.27988,0.19154,0.62264,0.38161,0.19952,1.42882,2.5383,1.27599,0.00016912,0.00016912,0.00016912
4,81.4855,1.42055,1.61856,1.26818,0.80252,0.24528,0.42292,0.23578,1.43395,2.39926,1.2729,0.00015428,0.00015428,0.00015428
5,103.351,1.43485,1.59134,1.26683,0.77749,0.26374,0.46828,0.2725,1.41187,2.30294,1.2496,9.984e-05,9.984e-05,9.984e-05
